نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,غير معروف,الرياض,الرياض,غربية,375,2900.0,1087500
أرض,غير معروف,الرياض,غرناطة,شمالية,800,4800.0,3840000
أرض,سكني,الرياض,غرناطة,غير معروف,1650,4800.0,7920000
أرض,سكني,الرياض,اليرموك,غير معروف,1650,4800.0,7920000
أرض,سكني,الرياض,النسيم الغربي,غربية,750,3200.0,2400000
أرض,تجاري وسكني,الرياض,الرمال,جنوبية,2400,3300.0,7920000
أرض,تجاري وسكني,الرياض,الرمال,شمالية,900,3300.0,2970000
أرض,تجاري وسكني,الرياض,الملك فيصل,شرقية,750,3350.0,2512500
أرض,تجاري وسكني,الرياض,اليرموك,جنوبية,1089,3300.0,3593700
أرض,تجاري وسكني,الرياض,الرياض,غربية,750,2600.0,1950000
أرض,تجاري وسكني,الرياض,اليرموك,شرقية,450,3500.0,1575000
أرض,تجاري وسكني,الرياض,الرمال,شرقية,450,3500.0,1575000
أرض,تجاري وسكني,الرياض,اليرموك,جنوبية,1089,3300.0,3593700
أرض,تجاري وسكني,الرياض,الرياض,جنوبية,1089,3300.0,3593700
أرض,تجاري وسكني,الرياض,المعيزلة,جنوبية,550,2500.0,1375000
أرض,تجاري وسكني,الرياض,اليرموك,جنوبية,1089,3200.0,3484800
أرض,تجاري وسكني,الرياض,اليرموك,جنوبية,1089,3250.0,3539250
أرض,تجاري وسكني,الرياض,المعيزلة,جنوبية,550,3000.0,1650000
أرض,تجاري وسكني,الرياض,اليرموك,جنوبية,1089,3200.0,3484800
أرض,تجاري وسكني,الرياض,الرمال,شمالية شرقية,3092,3200.0,9894400
أرض,تجاري وسكني,الرياض,الرمال,جنوبية,412,3100.0,1277200
أرض,تجاري,الرياض,المونسية,شرقية,750,4200.0,3150000
أرض,تجاري,الرياض,المونسية,شرقية,2115,4200.0,8883000
أرض,تجاري,الرياض,الرمال,شرقية,1560,6410.0,9999600
أرض,تجاري,الرياض,الروضة,شمالية,1798,1500.0,2697000
أرض,تجاري,الرياض,الرمال,غير معروف,3000,1500.0,4500000
أرض,تجاري,الرياض,الرمال,شرقية,360,2900.0,1044000
أرض,سكني,الرياض,اليرموك,شمالية شرقية,594,3500.0,2079000
أرض,سكني,الرياض,الرياض,جنوبية شرقية,928,1950.0,1809600
